作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
白箱,重要副线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,无,工作压力、过劳、职业挫折、制作事故、言语冲突与饮酒场面；未作画面复核。,有可对应条目,13,0.010781878742370857,有,无,0,无
莉兹与青鸟,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,无,不告而别造成的离别恐惧、才能比较、自我贬低、哭泣与激烈关系冲突。,有可对应条目,27,0.1371527355068053,有,无,80,无
魔法少女小圆,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,未成年人遭致命暴力与死亡、遗体与葬礼、欺骗性契约及对未成年人危机的利用、身体与灵魂分离、绝望导致的异变、自毁式牺牲、同伴请求阻止自己变成怪物、家庭谋杀后自杀的回忆、失恋与嫉妒、灾害和群体伤亡威胁。,有可对应条目,34,0.02935893991033927,无,无,67,无
剧场版 魔法少女小圆 [新篇] 叛逆的物语,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,访谈／评论、出版渠道、故事／角色页,正篇事实／强推断／读者解读,无,心理恐怖、身体与记忆变形、死亡与暴力、囚禁与世界重写、情感操控、宗教意象、强烈占有性语言。,有可对应条目,35,0.06718554303095366,有,无,81,无
剧场版 少女☆歌剧 Revue Starlight,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,毕业与别离、舞台竞争、占有性措辞、歌曲与日常语言需区分。,有可对应条目,43,0.11971730778352227,有,无,82,无
日常,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,副线,夸张肢体冲突、枪炮与爆炸笑料，校园捉弄与公开出丑，机器人身体改造及对身体差异暴露的焦虑，BL 漫画与暗恋受挫笑料。,有可对应条目,48,0.0010602738741329117,无,无,0,无
吹响吧！上低音号 第二季,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,未成年学生对成年教师的单方爱恋、师生权力差异、失恋与拒绝、关系依赖、社团选拔冲突、家庭离别和竞赛压力。,有可对应条目,51,0.055458277985750516,无,无,60,无
轻音少女 第二季,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,相邻版本、范围内版本、原作,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,副线,毕业与暂时分离、社团与学业压力、成年教师让学生穿表演服装并以身体尴尬制造笑料、舞台剧和歌词中的恋爱语言、成人配角的男性恋爱往事与交往笑料。,有可对应条目,56,0.008723590296276715,无,无,33,无
少女革命,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,并列,校园年龄角色卷入成人性权力结构、诱骗与同意不对等、兄妹乱伦性虐待、占有与亲密暴力、受害者自责与厌女污名、身体和心理暴力、自杀念头与坠落意象。,有可对应条目,60,0.07627301108838411,有,无,85,无
轻音少女 剧场版,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,毕业与离别压力、旅行中的喜剧性尴尬、歌曲的强烈友情用语。,有可对应条目,65,0.04435829905601752,有,无,60,无
英雄联盟：双城之战,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,副线,战争与阶级压迫、枪械爆炸、死亡及儿童死亡、家庭分离、精神创伤与幻觉、自杀意念／尝试、囚禁与暴力审讯、药物依赖和人体实验、妓院场景、异性性场面。,有可对应条目,69,0.011491760624457935,无,无可对应条目,无可对应条目,无可对应条目
赛马娘 Pretty Derby 第二季,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,多次腿部骨折与严重赛场伤病、长期复健、复发恐惧、竞技压力、失去奔跑未来的痛苦,有可对应条目,71,0.05307302964569776,无,无,0,无
孤独摇滚！,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,严重社会焦虑与回避、反复自我贬低、夸张身体崩坏或死亡意象、成年人酒精依赖与醉酒、借钱不还和人际利用、公开出丑、危险跳台及轻伤。,有可对应条目,72,0.028811240330474136,无,无,52,无
偶像大师,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／读者解读,副线,未成年偶像的泳装、写真和身体话题，娱乐行业压力，造谣与偷拍，家庭经济压力，手足死亡与创伤反应，舞台事故。,有可对应条目,83,0.0027345497936657882,无,无,0,无
摇曳露营△ 第二季,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,夜间独行、低温、交通与露营安全风险；少量公共浴池或泡澡场景；本季未确认女女恋爱。,有可对应条目,89,0.04777327935222672,无,无,0,无
少女与战车 剧场版,主线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,学校存续危机、战车炮击与碰撞、军事化竞技语境,有可对应条目,91,0.05816176470588235,有,无,0,无
幸运星,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,副线,对未成年角色的性化及“萝莉控”笑料、把同学画入带性意味同人构想的笑料、亲人早逝与丧亲、病弱和体型笑料、危险驾驶喜剧。,有可对应条目,92,0.004573242974266622,无,无,0,无
吹响吧！上低音号,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,学生对成年教师的单方爱恋与权力差异、失恋与拒绝、社团派系冲突、偏袒指控、公开竞争和表演压力。,有可对应条目,95,0.053961829007130584,无,无,55,无
水星领航员 The AVVENIRE,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋读者解读,无,告别与职业转折带来的失落；前后辈和职业制度中的权力差异；关系性质未明的男性背景台词。,有可对应条目,102,0.013140817650876055,无,无,0,无
轻音少女,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线（成年配角的往事与笑料）,成人教师强迫学生更换表演服装、学生身体和服装被用于笑料、表演事故后的身体尴尬与公开笑料、打闹、成人配角的失恋与交往笑料。,有可对应条目,103,0.008659719135345153,无,无,0,无
百变之星,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,副线,高风险杂技、严苛训练、过劳与运动损伤、职业竞争、企业夺权。,有可对应条目,112,0.039341262580054895,有,无,0,无
摇曳露营△,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,未成年人夜间迷路与受寒，明火、燃气、低温、独行和交通风险，成年教师大量饮酒，少量集体泡澡场面。,有可对应条目,118,0.09417965739290421,无,无,32,无
少女革命 思春期默示录,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,企划,出版渠道,正篇事实、强推断、读者解读,副线,制度性订婚、亲属／权力关系中的性化暗示、死亡与创伤、身体变形和汽车碰撞意象。,有可对应条目,124,0.0964886825304701,有,有,93,有
悠哉日常大王 Nonstop,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,未成年角色的成长笑料、玩偶与手作喜剧、饮酒与照护场景。,有可对应条目,130,0.02279420426434209,有,无,0,无
比宇宙更远的地方,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,访谈／评论,正篇事实＋读者解读,副线,亲人失踪与长期哀伤，校园排挤与背叛，嫉妒、散播流言及破坏出行，晕船和呕吐，海上及极地旅行风险。,有可对应条目,147,0.033273460734371776,无,无,0,无
少女终末旅行,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／读者解读,无,文明崩溃与战争遗迹、枪械及物资争夺、生存资源短缺、高处坠落等危险、死亡与孤独议题；含共同沐浴等身体接近场景。,有可对应条目,161,0.08979499205688782,有,无,0,无
斩服少女,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,副线,高频裸露与性化变身、未成年人被性化展示、带性意味的强制身体接触与亲属间侵犯、家庭虐待、人体实验、精神操控、校园霸凌、严重暴力、身体恐怖及角色死亡。,有可对应条目,186,0.019056328628982426,无,无,62,无
电脑线圈,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／读者解读,副线,儿童死亡与丧亲、交通事故、内疚与哀伤、校园排斥和欺凌、儿童被利用及陷入危险、意识分离与昏迷、惊悚追逐、虚拟宠物受损与离别。,有可对应条目,187,0.008463673911571535,无,无,0,无
剧场版 魔法少女小圆 [后篇] 永远的物语,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,副线,死亡与身体／灵魂异化、绝望与自我牺牲、时间循环、记忆重置、心理恐怖和悲剧性结局。,有可对应条目,189,0.046848820724320145,有,无,75,无
超时空辉夜姬！,主线,文类内百合,主线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,无,家庭冲突与疏离、过劳、生存式战斗、离别与幻想性死亡、长时间跨度、AI／人格连续性议题。,有可对应条目,191,0.14970913253743898,有,有,88,无
琉璃的宝石,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,户外采集中的陡坡、河流、海岸与废弃设施风险；锤击取样、酸液及实验操作；少量温泉洗浴场景；本次 TV 范围没有女女恋爱确认。,有可对应条目,194,0.018887389889691294,无,无,0,无
Heart Catch 光之美少女！,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,副线,奇幻战斗与受伤、死亡与丧亲、亲人失踪、情绪困境被利用、误认性别恋爱笑料、儿童与青少年遇险,有可对应条目,201,0.01910027645136969,无,无,0,无
剧场版 吹响吧！上低音号～誓言的终章～,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,男性同学告白与关系暂缓、选拔冲突、孤立、哭泣、比赛压力和分离焦虑。,有可对应条目,202,0.03209094833789034,无,无,0,无
剧场版 吹响吧！上低音号～想要传达的旋律～,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,副线,家庭冲突、退部压力、毕业离别、前后辈权力差异与局部异性恋爱关系。,有可对应条目,203,0.03315126687907753,无,无,0,无
悠哉日常大王 Repeat,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,主要角色为小学生和中学生；含夜间迷路、泳池清扫、泳装、儿童成长笑料和未成年人接触酒类的喜剧情节。,有可对应条目,204,0.03523194362889019,有,无,0,无
向山进发 Next Summit,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,登山风险、高山反应、童年坠落与恐高、吃醋和分离不安。,有可对应条目,205,0.10242118097892353,有,无,0,无
悠哉日常大王,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,主要人物多为儿童；含未成年角色的泳装／体型笑料、萤对小鞠的同床想象与单方倾慕，以及童年旧录像中的“嫁给哥哥”笑料。,有可对应条目,228,0.03563386825833661,有,无,0,无
飞跃巅峰2！,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,宇宙战争、组织排挤、能力丧失、胁迫性冲突、高风险战斗与分离。,有可对应条目,229,0.04280410569993448,无,无,60,无
剧场版 悠哉日常大王 Vacation,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,未成年角色旅行、浮潜与皮艇活动、离别哭泣；萤与小鞠的恋爱方向未在本片确认。,有可对应条目,232,0.03159126365054602,有,无,0,无
