作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
白箱,2014,TV 动画,2014 至 2015 年 TV 动画正式第 1–24 话,重要副线,文类外百合阅读,缺席,非恋爱,2,重要副线 1、局部 1,非恋爱 2,双向 2,宫森葵、安原绘麻、坂木静香、藤堂美沙与今井绿（重要副线／非恋爱／双向）；安原绘麻与井口祐未（局部／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,否,否,否,否,是,否,否,workplace_stress；overwork；career_setbacks；production_crises；verbal_workplace_conflict；alcohol_use,职场,日本,原创,13,0.010781878742370857,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/shirobako_tv_2014/
银魂',2011,TV 动画,2011 年 4 月 4 日至 2012 年 3 月 26 日播出的《銀魂'》TV 第二期正式第 202–252 话，共 51 话；与 Bangumi subject 11834、AniList 9969、MyAnimeList 9969 和 Anime-Planet《gintama-2011》精确对应的同一电视版本,重要副线,文类外百合阅读,局部,明确欲望,5,重要副线 2、局部 3,明确欲望 1、非恋爱 4,双向 3、单向 1、不适用 1,柳生九兵卫对志村妙的单向爱欲与持续亲近（局部／明确欲望／单向）；登势、凯瑟琳与阿玉的选择家庭和共同体（重要副线／非恋爱／双向）；登势与泥水平子的冲突、责任和重新接纳（重要副线／非恋爱／不适用）；志村妙、神乐、月咏、猿飞菖蒲与柳生九兵卫的女性群体（局部／非恋爱／双向）；月咏、日轮与百华的吉原女性共同体（局部／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,副线,高,否,否,否,是,是,否,否,否,是,是,否,否,喜剧化暴力、战斗、死亡威胁与帮派冲突；酒精、性暗示、裸露笑话与边界侵犯笑料；性别角色与性取向相关笑料；失恋、嫉妒、单向追求与围绕男性对象的恋爱竞争；家庭创伤、父女冲突与城市权力斗争,战斗,日本,漫画改,19,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/gintama_tv_2011/
莉兹与青鸟,2018,剧场动画,2018 年上映的动画电影《リズと青い鳥》正片，片长约 90 分钟,主线,文类内百合,主线,潜在恋爱,1,主线 1,潜在恋爱 1,相互性未确认 1,铠塚霙—伞木希美（主线／潜在恋爱／相互性未确认）,所核未见,所核未见,,,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,否,否,否,"past unexplained departure causing sustained fear of abandonment；one character ties continuing music and education choices to remaining beside the other；talent comparison, envy, and self-deprecating speech；crying, separation imagery, and emotionally intense confrontation",校园,日本,小说改,27,0.1371527355068053,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/liz_to_aoi_tori_movie_2018/
魔法少女小圆,2011,TV 动画,2011 年 TV 动画正式第 1–12 话,主线,文类内百合,主线,潜在恋爱,5,主线 1、重要副线 4,潜在恋爱 2、非恋爱 3,双向 3、相互性未确认 2,鹿目圆与晓美焰（主线／潜在恋爱／相互性未确认）；鹿目圆与美树沙耶香（重要副线／非恋爱／双向）；佐仓杏子与美树沙耶香（重要副线／潜在恋爱／相互性未确认）；巴麻美对鹿目圆与美树沙耶香的引导（重要副线／非恋爱／双向）；美树沙耶香与志筑仁美的友谊和竞争（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,fatal_violence_against_minors_and_character_deaths；corpses_funeral_and_grief；deceptive_contracts_and_exploitation_of_minors_in_crisis；separation_of_body_and_soul；despair_induced_body_transformation；self_destructive_sacrifice；a_companion_asked_to_prevent_a_character_from_becoming_a_monster；family_murder_followed_by_suicide_in_backstory；unrequited_love_jealousy_and_emotional_breakdown；disaster_and_mass_casualty_threat,战斗,日本,原创,34,0.02935893991033927,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/mahou_shoujo_madoka_magica_tv_2011/
剧场版 魔法少女小圆 [新篇] 叛逆的物语,2013,剧场动画,2013 年剧场版《叛逆的物语》单部正片,主线,文类内百合,主线,明确欲望,3,主线 1、重要副线 2,明确欲望 1、非恋爱 2,双向 2、相互性未确认 1,晓美焰—鹿目圆（主线／明确欲望／相互性未确认）；佐仓杏子—美树沙耶香（重要副线／非恋爱／双向）；圆、焰与其他魔法少女群体（重要副线／非恋爱／双向）,所核未见,是,当前版本,出版载体、剧情／角色页、访谈／评论,只有明确关系事实,无,高,否,否,是,是,是,是,是,否,否,是,否,是,心理恐怖与记忆伪造；死亡、战斗暴力与身体变形；囚禁、隔离与世界重写；以保护为名替代他人选择的关系冲突；强烈占有性语言与情感执念；宗教意象和存在主义绝望,战斗,日本,原创,35,0.06718554303095366,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/mahou_shoujo_madoka_magica_rebellion_movie_2013/
剧场版 少女☆歌剧 Revue Starlight,2021,剧场动画,2021 年 6 月 4 日上映的剧场版正片（约 120 分钟）,主线,文类内百合,主线,潜在恋爱,4,主线 1、重要副线 3,潜在恋爱 3、非恋爱 1,双向 3、相互性未确认 1,爱城华恋与神乐光的约定、重逢与共同舞台（主线／潜在恋爱／双向）；石动双叶与花柳香子的近距离依存与竞争（重要副线／潜在恋爱／相互性未确认）；天堂真矢与西条克劳迪娜的长期对手关系（重要副线／潜在恋爱／双向）；大场奈奈与星见纯那的共同舞台与别离后再会（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,只有关系推断,无,中,否,否,否,否,是,是,是,否,是,是,否,否,别离与毕业压力；舞台竞争、相互挑战和强烈依存；歌曲与 Revue 的隐喻化情感表达；部分关系含占有式措辞，不能按现实层交往确认处理,战斗,日本,原创,43,0.11971730778352227,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/shoujo_kageki_revue_starlight_movie_2021/
日常,2011,TV 动画,2011 年播出的 TV 动画正篇第 1–26 话,主线,文类内百合,缺席,非恋爱,3,主线 2、重要副线 1,非恋爱 3,双向 3,相生祐子—长野原澪—水上麻衣（主线／非恋爱／双向）；东云名乃—博士（主线／非恋爱／双向）；东云名乃—祐子／澪／麻衣（重要副线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,frequent_slapstick_physical_violence_and_injury；guns_rockets_and_explosions_played_for_surreal_comedy；school_pranks_and_public_humiliation；robot_body_modification_and_anxiety_about_visible_body_difference；boys_love_manga_and_crush_rejection_comedy,日常、校园,日本,漫画改,48,0.0010602738741329117,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/nichijou_tv_2011/
吹响吧！上低音号 第二季,2016,TV 动画,2016 年 TV 动画第二季播出的第 1–13 话,主线,文类内百合,主线,潜在恋爱,5,主线 1、重要副线 3、局部 1,潜在恋爱 1、非恋爱 4,双向 2、相互性未确认 3,久美子—丽奈（主线／潜在恋爱／相互性未确认）；希美—みぞれ（重要副线／非恋爱／相互性未确认）；久美子—明日香（重要副线／非恋爱／双向）；香织—优子（围绕三年级成员线）（重要副线／非恋爱／相互性未确认）；久美子—麻美子（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,是,是,否,否,a_schoolgirl_has_explicit_unrequited_romantic_desire_for_an_adult_teacher；student_teacher_power_difference_is_part_of_the_romantic_context；heterosexual_confession_and_rejection；emotional_dependency_and_fear_of_separation；school_club_selection_conflict_and_accusations_of_favoritism；family_conflict_and_departure；public_competition_and_performance_pressure,校园、音乐,日本,小说改,51,0.055458277985750516,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hibike_euphonium_2_tv_2016/
轻音少女 第二季,2010,TV 动画,2010 年 TV 动画播出的第 1–26 话；随 TV 系列 Blu-ray/DVD 发行的官方追加第 27 话 Plan!（計画！）；TBS 与 Bangumi 均将其单独列出,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,放学后茶会／轻音部五人（主线／非恋爱／双向）；平泽唯／中野梓（重要副线／非恋爱／双向）；田井中律／秋山澪（重要副线／非恋爱／双向）,所核未见,所核未见,原作、当前版本、相邻版本,出版载体、可见作品宣传,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,毕业与暂时分离；社团活动压力与学业压力；成年教师让学生穿表演服装并以身体尴尬制造笑料；舞台剧角色扮演中的恋爱台词；将暧昧词语用于玩笑或歌词；成年配角的男性恋爱往事与交往笑料,日常、校园,日本,漫画改,56,0.008723590296276715,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/k_on_second_season_tv_2010/
少女革命,1997,TV 动画,1997 年电视动画常规正篇第 1–39 话；King Records 官方完整 Blu-ray 分话目录和梗概，仅作为范围与正篇之外的辅助证据；数据库当前的文类、题材和社区标签字段，仅作为外部标签证据,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 1、潜在恋爱 1,双向 1、单向 1,乌蒂娜—安希（主线／潜在恋爱／双向）；树璃—枝织（重要副线／明确欲望／单向）,所核未见,所核未见,,,只有明确关系事实,并列,高,否,否,否,是,是,是,否,否,否,是,否,否,school_age_characters_in_adult_sexual_power_structures；sexual_grooming_manipulation_and_coercion；incestuous_sexual_abuse_and_control；possessive_and_intimate_partner_violence；victim_self_blame_and_misogynistic_stigmatization；physical_and_psychological_violence；suicidal_ideation_and_fall_imagery,战斗,日本,原创,60,0.07627301108838411,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/shoujo_kakumei_utena_tv_1997/
