作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
白箱,shirobako_tv_2014,2014 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,—,—,无,工作压力、过劳、职业挫折、制作事故、言语冲突与饮酒场面；无画面复核。,有精确条目,14,0.010696839219169354
莉兹与青鸟,liz_to_aoi_tori_movie_2018,2018 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,曾经不告而别造成离别恐惧；一方把继续演奏和升学选择绑定于留在另一方身边；才能比较、自我贬低、哭泣与关系冲突。,有精确条目,27,0.13712636368083753
魔法少女小圆,mahou_shoujo_madoka_magica_tv_2011,2011 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页,副线,未成年人遭致命暴力与死亡、遗体与葬礼、欺骗性契约及对未成年人危机的利用、身体与灵魂分离、绝望导致的异变、自毁式牺牲、同伴请求阻止自己变成怪物、家庭谋杀后自杀的回忆、失恋与嫉妒、灾害和群体伤亡威胁。,有精确条目,34,0.029318272123517057
剧场版 魔法少女小圆 [新篇] 叛逆的物语,mahou_shoujo_madoka_magica_rebellion_movie_2013,2013 剧场动画,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,访谈／评论、出版渠道、故事／角色页,无,心理恐怖、身体与记忆变形、死亡与暴力、囚禁与世界重写、情感操控、宗教意象、强烈占有性语言。,有精确条目,35,0.0671594888217161
剧场版 少女☆歌剧 Revue Starlight,shoujo_kageki_revue_starlight_movie_2021,2021 剧场动画,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,无,毕业与别离、舞台竞争、占有性措辞、歌曲与日常语言需区分。,有精确条目,43,0.11950405340963281
日常,nichijou_tv_2011,2011 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,夸张肢体冲突、枪炮与爆炸笑料，校园捉弄与公开出丑，机器人身体改造及对身体差异暴露的焦虑，BL 漫画与暗恋受挫笑料。,有精确条目,49,0.001063657177883142
吹响吧！上低音号 第二季,hibike_euphonium_2_tv_2016,2016 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,未成年学生对成年教师的单方爱恋、失恋与拒绝、社团选拔冲突、关系依赖、家庭离别和竞赛压力。,有精确条目,50,0.05547812386377409
轻音少女 第二季,k_on_second_season_tv_2010,2010 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,相邻版本、范围内版本、原作,出版渠道、可见宣传,副线,毕业与暂时分离、社团与学业压力、成人教师让学生穿表演服装并以身体尴尬制造笑料、舞台剧角色扮演中的恋爱台词、将暧昧词语用于玩笑或歌词。,有精确条目,56,0.008633886473577858
少女革命,shoujo_kakumei_utena_tv_1997,1997 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,并行,校园年龄角色卷入成人性权力结构、诱骗与同意不对等、兄妹乱伦性虐待、占有与亲密暴力、受害者自责及厌女污名、身体和心理暴力、自杀念头与坠落意象。,有精确条目,60,0.07642039317347159
轻音少女 剧场版,k_on_movie_2011,2011 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,未知,毕业与离别压力、旅行中的喜剧性尴尬、歌曲的强烈友情用语。,有精确条目,66,0.04424778761061947
英雄联盟：双城之战,arcane_season_1_web_2021,2021 WEB,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,战争与阶级压迫、枪械爆炸、死亡及儿童死亡、家庭分离、精神创伤与幻觉、自杀意念／尝试、囚禁与暴力审讯、药物依赖和人体实验、妓院场景、异性性场面。,有精确条目,69,0.01152624940193989
赛马娘 Pretty Derby 第二季,uma_musume_pretty_derby_season_2_tv_2021,2021 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,多次腿部骨折与赛场伤病、长期复健和复发恐惧、竞技压力、失去奔跑未来的痛苦。,有精确条目,71,0.05301931666569987
孤独摇滚！,bocchi_the_rock_tv_2022,2022 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,严重社会焦虑与回避、反复自我贬低、夸张身体崩坏或死亡意象、成年人酒精依赖与醉酒、借钱不还和人际利用、公开出丑、危险跳台及轻伤。,有精确条目,72,0.028872709013306554
偶像大师,the_idolmaster_tv_2011,2011 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,—,—,副线,未成年偶像的泳装／写真／身体话题与婚礼模特工作，娱乐行业过劳和排期压力，造谣、偷拍与事业破坏，儿童照护与家庭经济压力，父母离异、手足死亡与创伤反应，舞台事故和住院，性别角色期待。,有精确条目,83,0.0027421847733958217
摇曳露营△ 第二季,yuru_camp_season_2_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,夜间独行、低温、交通与露营安全风险；少量公共浴池或泡澡场景；本季未确认女女恋爱。,有精确条目,89,0.04719649296471753
少女与战车 剧场版,girls_und_panzer_movie_2015,2015 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,学校存续危机、战车竞技险情、竞争，以及局部异性恋笑料。,有精确条目,91,0.05824167712408651
幸运星,lucky_star_tv_2007,2007 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,对未成年角色的性化及“萝莉控”笑料、把同学画入带性意味同人构想的笑料、亲人早逝与丧亲、病弱和体型笑料、危险驾驶喜剧。,有精确条目,93,0.004589992389649924
吹响吧！上低音号,hibike_euphonium_tv_2015,2015 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,学生对成年教师的单方恋爱、失恋与拒绝、社团派系冲突、流言与偏袒指控、公开竞争和表演压力。,有精确条目,95,0.05392701074760836
水星领航员 The AVVENIRE,aria_the_avvenire_ova_2015,2015 剧场 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,离职、毕业和告别带来的失落；前后辈与职业制度的权力差异；未具名男性背景台词（关系性质未明）。,有精确条目,102,0.013020833333333334
轻音少女,k_on_tv_2009,2009 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,成人教师强迫学生更换表演服装、学生身体和服装被用于笑料、表演事故后的身体尴尬与公开笑料、打闹、成人配角的失恋与交往笑料。,有精确条目,103,0.008612993883286494
百变之星,kaleido_star_tv_2003_part1,2003 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,高风险杂技、严苛训练、过劳与运动损伤、职业竞争、企业夺权。,有精确条目,112,0.03942783788740143
摇曳露营△,yuru_camp_tv_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,未成年人夜间迷路与受寒；明火、燃气、低温、独行及交通等露营风险；成年教师大量饮酒并醉倒；少量泡澡场面；没有本季女性恋爱确认。,有精确条目,118,0.09432360212771271
少女革命 思春期默示录,shoujo_kakumei_utena_adolescence_movie_1999,1999 剧场动画,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,企划,出版渠道,并行,制度性订婚、亲属／权力关系中的性化暗示、死亡与创伤、身体变形和汽车碰撞意象。,有精确条目,125,0.09624344787419918
悠哉日常大王 Nonstop,non_non_biyori_nonstop_tv_2021,2021 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,未成年角色的成长笑料、玩偶与手作喜剧、饮酒与照护场景。,有精确条目,130,0.02277163305139883
比宇宙更远的地方,sora_yori_mo_tooi_basho_tv_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,访谈／评论,副线,亲人失踪与长期哀伤，校园排挤与背叛，嫉妒、散播流言及破坏出行，晕船和呕吐，海上及极地旅行风险。,有精确条目,148,0.033242716151527685
